method,repeat,metric,value
Random Convex MDT_t1,87,ari,0.38662981339193564
Random Convex MDT_t1,88,chs,3.1976144803832574
Random Convex MDT_t1,88,ami,0.46523801759351713
Random Convex MDT_t1,88,ari,0.3359400420559844
Random Convex MDT_t1,89,chs,3.678933102479428
Random Convex MDT_t1,89,ami,0.6290495062622807
Random Convex MDT_t1,89,ari,0.5294302190345287
Random Convex MDT_t1,90,chs,3.523189342136921
Random Convex MDT_t1,90,ami,0.6628311720466482
Random Convex MDT_t1,90,ari,0.5749935557348905
Random Convex MDT_t1,91,chs,3.7314650359230157
Random Convex MDT_t1,91,ami,0.66907846353248
Random Convex MDT_t1,91,ari,0.5880660046987514
Random Convex MDT_t1,92,chs,3.5318421851020583
Random Convex MDT_t1,92,ami,0.6036738577194033
Random Convex MDT_t1,92,ari,0.47612872907714426
Random Convex MDT_t1,93,chs,3.71656235322106
Random Convex MDT_t1,93,ami,0.622635765000575
Random Convex MDT_t1,93,ari,0.480506667814154
Random Convex MDT_t1,94,chs,3.704797234269537
Random Convex MDT_t1,94,ami,0.7562457427547772
Random Convex MDT_t1,94,ari,0.6865370762597972
Random Convex MDT_t1,95,chs,3.867521612096744
Random Convex MDT_t1,95,ami,0.6834366813575948
Random Convex MDT_t1,95,ari,0.5863192235650239
Random Convex MDT_t1,96,chs,3.690726936580996
Random Convex MDT_t1,96,ami,0.6232903589375719
Random Convex MDT_t1,96,ari,0.5329947193706785
Random Convex MDT_t1,97,chs,3.6757585518258358
Random Convex MDT_t1,97,ami,0.6094894691208214
Random Convex MDT_t1,97,ari,0.5414499336825902
Random Convex MDT_t1,98,chs,3.686149938072319
Random Convex MDT_t1,98,ami,0.5958282663164529
Random Convex MDT_t1,98,ari,0.4659531693829069
Random Convex MDT_t1,99,chs,3.696979596229504
Random Convex MDT_t1,99,ami,0.7320585245227741
Random Convex MDT_t1,99,ari,0.6125140041442353
Random Convex MDT_t2,0,chs,3.873585147686529
Random Convex MDT_t2,0,ami,0.6997375449928106
Random Convex MDT_t2,0,ari,0.6349756481422404
Random Convex MDT_t2,1,chs,3.730015101083372
Random Convex MDT_t2,1,ami,0.7186514648701349
Random Convex MDT_t2,1,ari,0.6469787568067915
Random Convex MDT_t2,2,chs,3.8394746647686815
Random Convex MDT_t2,2,ami,0.7418868191254389
Random Convex MDT_t2,2,ari,0.653513532735792
Random Convex MDT_t2,3,chs,3.710926171369482
Random Convex MDT_t2,3,ami,0.7027555747576132
Random Convex MDT_t2,3,ari,0.5980404034285368
Random Convex MDT_t2,4,chs,3.7005554448608877
Random Convex MDT_t2,4,ami,0.7177535306634786
Random Convex MDT_t2,4,ari,0.6206976364946686
Random Convex MDT_t2,5,chs,3.658292536588069
Random Convex MDT_t2,5,ami,0.6676504801567845
Random Convex MDT_t2,5,ari,0.5757242468281369
Random Convex MDT_t2,6,chs,3.7167924941378274
Random Convex MDT_t2,6,ami,0.6474024515604729
Random Convex MDT_t2,6,ari,0.5421009620928402
Random Convex MDT_t2,7,chs,3.7196733778847646
Random Convex MDT_t2,7,ami,0.687496055841706
Random Convex MDT_t2,7,ari,0.5236988024717402
Random Convex MDT_t2,8,chs,3.8657407652685265
Random Convex MDT_t2,8,ami,0.6860490881525776
Random Convex MDT_t2,8,ari,0.6226591449163857
Random Convex MDT_t2,9,chs,3.7991965894204176
Random Convex MDT_t2,9,ami,0.7640198091313742
Random Convex MDT_t2,9,ari,0.689678629019727
Random Convex MDT_t2,10,chs,3.887970917230612
Random Convex MDT_t2,10,ami,0.760377548801846
Random Convex MDT_t2,10,ari,0.6723026113452438
Random Convex MDT_t2,11,chs,3.7465196251835877
Random Convex MDT_t2,11,ami,0.6823000049599337
Random Convex MDT_t2,11,ari,0.5831427817965144
Random Convex MDT_t2,12,chs,3.8915816258788
Random Convex MDT_t2,12,ami,0.718442007821895
Random Convex MDT_t2,12,ari,0.6470253770395961
Random Convex MDT_t2,13,chs,3.848082144994243
Random Convex MDT_t2,13,ami,0.7298062031277817
Random Convex MDT_t2,13,ari,0.6498973305954825
Random Convex MDT_t2,14,chs,3.7250033813808514
Random Convex MDT_t2,14,ami,0.6312301018262988
Random Convex MDT_t2,14,ari,0.4906698462177559
Random Convex MDT_t2,15,chs,3.7348830943772016
Random Convex MDT_t2,15,ami,0.6709879161082798
Random Convex MDT_t2,15,ari,0.592395907767921
Random Convex MDT_t2,16,chs,3.76492821091337
Random Convex MDT_t2,16,ami,0.6906572803212008
Random Convex MDT_t2,16,ari,0.6003141503237474
Random Convex MDT_t2,17,chs,3.727994606045267
Random Convex MDT_t2,17,ami,0.7387370396499308
Random Convex MDT_t2,17,ari,0.6680095220655557
Random Convex MDT_t2,18,chs,3.7633763334772867
Random Convex MDT_t2,18,ami,0.7710596100454777
Random Convex MDT_t2,18,ari,0.6997708373344828
Random Convex MDT_t2,19,chs,3.707178593273542
Random Convex MDT_t2,19,ami,0.5830282872108464
Random Convex MDT_t2,19,ari,0.3844574780058651
Random Convex MDT_t2,20,chs,3.6791883636458693
Random Convex MDT_t2,20,ami,0.6289621327495288
Random Convex MDT_t2,20,ari,0.4405986294230492
Random Convex MDT_t2,21,chs,3.623451567153694
Random Convex MDT_t2,21,ami,0.6438394561674774
Random Convex MDT_t2,21,ari,0.5158939244655623
Random Convex MDT_t2,22,chs,3.470970692560594
Random Convex MDT_t2,22,ami,0.626175330550877
Random Convex MDT_t2,22,ari,0.4096280669346572
Random Convex MDT_t2,23,chs,3.8902101508758635
